name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
松浦文哉SPWZ社长,None,76561198976143976,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
孔目那,None,76561199031964140,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
耐斯兄弟发吧狙,None,76561198945852308,作弊封禁,2020-03-16,Inf,3,None,None,AK47,0.31,None,1176
bai给之星,None,76561199034214078,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
我卢本伟无视你们,None,76561199032958748,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
小城烟雨酒家,None,76561198851961838,作弊封禁,2020-03-16,Inf,8,None,None,Zeus x27,0.00,inferno,988
斗鱼_tv-云子索,None,76561199028740705,作弊封禁,2020-03-16,Inf,8,None,None,None,None,None,
电脑玩家费德提克,None,76561199034127208,作弊封禁,2020-03-16,Inf,3,None,None,AK47,0.65,None,
小鱼苗好玩吗？,None,76561199034619234,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
小南同学.,None,76561198968676924,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
湛江一条龙,None,76561198986778587,作弊封禁,2020-03-16,Inf,6,None,None,AK47,0.40,mirage,957
水渐啊,None,76561199033004489,作弊封禁,2020-03-16,Inf,12,None,None,XM1014,0.24,None,
Aaron3737,None,76561199032520013,作弊封禁,2020-03-16,Inf,4,None,None,M4A1 Silencer On,0.83,None,
安生Ase,None,76561199031095505,作弊封禁,2020-03-16,Inf,0,None,None,SSG08,0.68,None,
",ropz",None,76561199034309070,作弊封禁,2020-03-16,Inf,1,None,None,CT SCAR20,0.73,None,
Douyu瘤子哥u,None,76561199032505976,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
百日萌新曹达华,None,76561199034420693,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
一念智即般若生,None,76561199028853146,作弊封禁,2020-03-16,Inf,0,None,None,SG 553,0.18,None,
你可曾记得我,Vip,76561199033893598,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
手机是大哥,None,76561199034119081,作弊封禁,2020-03-16,Inf,8,None,None,M4A4,0.56,None,
我与亚索皆为快乐,None,76561199032567157,作弊封禁,2020-03-16,Inf,2,None,None,AWP,0.14,None,
不会唱情歌了,None,76561199018859601,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
G2的ne×a本人,None,76561199025755790,作弊封禁,2020-03-16,Inf,21,None,None,AK47,0.56,mirage,1818
real7gga,None,76561198389040363,作弊封禁,2020-03-17,Inf,14,None,None,SG 553,0.29,cache,
慕明酱,Vip,76561198967016944,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
kyrgth,Vip,76561198815001772,作弊封禁,2020-03-16,Inf,17,None,None,AK47,0.34,vertigo,927
温州第一帅,None,76561198821329628,作弊封禁,2020-03-16,Inf,0,None,None,AWP,0.14,None,634
单吊东风带走7号,None,76561198287369880,作弊封禁,2020-03-16,Inf,3,None,None,AK47,0.31,None,
douyvTv-qzzzzzzzz,None,76561199027906007,作弊封禁,2020-03-16,Inf,18,None,None,AWP,0.06,None,1238
樱桃味的小宝贝,Vip,76561198975362732,作弊封禁,2020-03-16,Inf,24,None,None,AWP,0.09,train,
SPAM_2406800j6qyzi,None,76561198253518814,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
ChenX1n,None,76561199027431363,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
文森特csgo,None,76561198219417801,作弊封禁,2020-03-16,Inf,5,None,None,Zeus x27,0.00,None,
星星你l个星星,None,76561199030963582,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
cn2yhh,None,76561199030919999,作弊封禁,2020-03-16,Inf,6,None,None,AWP,0.11,dust2,1387
普普通通比企谷,None,76561199031609190,作弊封禁,2020-03-16,Inf,3,None,None,None,None,None,
我来炸鱼了123,None,76561199032896301,作弊封禁,2020-03-16,Inf,1,None,None,AK47,0.67,None,
鹅鹅曲项向天歌,None,76561199031612972,作弊封禁,2020-03-16,Inf,7,None,None,AWP,0.09,None,
attat,None,76561199030828603,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
二嬢二醸,None,76561199028462927,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
只求一把AK,None,76561199034299356,作弊封禁,2020-03-16,Inf,4,None,None,None,None,None,
