name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map
大大Chong,None,76561199028144952,作弊封禁,2020-03-12,Inf,25,None,None,AK47,0.73,None
我真不是嫌疑人啊,None,76561199032876985,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
我是燕双ying,None,76561199027124574,作弊封禁,2020-03-12,Inf,2,None,None,AK47,0.20,mirage
啥啥不行.,None,76561199033054250,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
xxcc1,Vip,76561198969952794,作弊封禁,2020-03-12,Inf,0,None,None,AWP,0.18,None
冶源新之助,Vip,76561199026900319,作弊封禁,2020-03-12,Inf,3,None,None,Galil,0.38,None
SNH48丶于谦,None,76561199031337371,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
老八蜜汁小汉堡u,None,76561199032730976,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
丹麦核心炮台,None,76561199031203659,作弊封禁,2020-03-12,Inf,4,None,None,AWP,0.12,None
香蕉菌哇偶,Vip,76561198806469090,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
Qzre,None,76561199032695550,作弊封禁,2020-03-12,Inf,7,None,None,SG 553,0.83,None
scw666110,Vip,76561198962008251,作弊封禁,2020-03-12,Inf,14,None,None,AK47,0.40,mirage
BOT丶4,None,76561199032943981,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
动动我试试gou儿子,None,76561199028235042,作弊封禁,2020-03-12,Inf,2,None,None,AK47,0.90,None
她说她很爱你,None,76561199026512948,作弊封禁,2020-03-12,Inf,18,None,None,P90,0.42,None
谈笑风生李某人,Vip,76561198435611373,作弊封禁,2020-03-12,Inf,24,None,None,AK47,0.32,overpass
属实没整明白,None,76561198401808481,作弊封禁,2020-03-12,Inf,4,None,None,None,None,None
Nice灬,None,76561198828641150,作弊封禁,2020-03-12,Inf,6,None,None,SG 553,0.53,None
8000里海岸,None,76561198854310565,作弊封禁,2020-03-12,Inf,22,None,None,AWP,0.11,mirage
Autism111,None,76561199025933371,作弊封禁,2020-03-12,Inf,63,None,None,AK47,0.46,inferno
梓涵tututu,None,76561199031310711,作弊封禁,2020-03-12,Inf,6,None,None,AWP,0.30,None
一颗松树,None,76561199030450887,作弊封禁,2020-03-12,Inf,31,None,None,AWP,0.13,None
Wend1go,None,76561199012106447,作弊封禁,2020-03-12,Inf,48,None,None,AWP,0.13,mirage
阿呆的叭叭,None,76561199030928698,作弊封禁,2020-03-12,Inf,14,None,None,SG 553,0.58,None
Viciy,None,76561199029582172,作弊封禁,2020-03-12,Inf,44,None,None,AK47,0.52,inferno
ㅤㅤㅤㅤ⚡ㅤㅤ,Svip,76561199025146195,作弊封禁,2020-03-12,Inf,33,33,76,None,None,None
我怕过冻结？,None,76561199032890381,作弊封禁,2020-03-12,Inf,12,None,None,AK47,0.88,None
nfintfiw,None,76561198412240930,作弊封禁,2020-03-12,Inf,3,None,None,None,None,None
小凯弟弟4,None,76561199030825912,作弊封禁,2020-03-12,Inf,2,None,None,CT SCAR20,0.15,None
厕所战神闸,None,76561199026254588,作弊封禁,2020-03-12,Inf,6,None,None,AWP,0.20,dust2
vpdpozx9515356,Svip,76561199026182743,作弊封禁,2020-03-12,Inf,37,32,22,None,None,None
我也想被偏爱吖,Svip,76561199026409725,作弊封禁,2020-03-12,Inf,16,3,12,None,None,None
uskptxa9946827,None,76561199026224840,作弊封禁,2020-03-12,Inf,3,None,None,SG 553,0.79,None
蓝冰之影,None,76561198810334550,作弊封禁,2020-03-12,Inf,2,None,None,None,None,None
EndlessStory,None,76561198105834645,作弊封禁,2020-03-12,Inf,1,None,None,AK47,0.43,None
PJY.,None,76561198929405859,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
你怕是思想有问题,None,76561198244190668,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
234qcy,None,76561198171255025,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
uzy89zc,Vip,76561199027416392,作弊封禁,2020-03-12,Inf,44,None,None,AK47,0.31,inferno
都市王兔子一号,None,76561199025382333,作弊封禁,2020-03-12,Inf,4,None,None,AWP,0.06,None
冻结了我继续玩,None,76561199030180827,作弊封禁,2020-03-12,Inf,36,None,None,AK47,0.60,None
bilibili^Niko,None,76561198990417342,作弊封禁,2020-03-12,Inf,61,None,None,M4A4,0.42,None
wanyesong2009r,None,76561199020136790,作弊封禁,2020-03-12,Inf,42,None,None,AK47,0.52,None
yaoqishuaisile,None,76561199006548603,作弊封禁,2020-03-12,Inf,24,None,None,SG 553,0.42,mirage
WEEEEEEEEED,None,76561198360396614,作弊封禁,2020-03-12,Inf,19,None,None,AK47,0.44,dust2
背身一下算我输、,None,76561199031137863,作弊封禁,2020-03-12,Inf,0,None,None,AK47,0.20,None
ghost593,None,76561198107715865,作弊封禁,2020-03-12,Inf,0,None,None,Galil,0.36,None
肉粥,None,76561199010026444,作弊封禁,2020-03-12,Inf,31,None,None,AK47,0.43,mirage
3325292556,None,76561199018382827,作弊封禁,2020-03-12,Inf,0,None,None,None,None,None
pown333,None,76561199029081408,作弊封禁,2020-03-12,Inf,5,None,None,None,None,None
油头油炸麻花,None,76561198978495526,作弊封禁,2020-03-12,Inf,2,None,None,M4A4,0.30,mirage
果果帅过吴亦凡,None,76561199030500553,作弊封禁,2020-03-12,Inf,11,None,None,AK47,0.42,None
yosupreme,None,76561199025139263,作弊封禁,2020-03-12,Inf,18,None,None,Zeus x27,0.00,inferno
Kkkk.LyNnJeR,Vip,76561199023125402,作弊封禁,2020-03-12,Inf,27,None,None,AK47,0.50,inferno
